Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
08/03/2018 10:35:06,   2017,2016,London Area Airports,GATWICK,"41,471,009","27,126,930","2,155,359","29,282,289","28,237,546",3.6998364,"11,375,650","813,070","12,188,720","11,007,676",10.7292766
08/03/2018 10:35:06,   2017,2016,London Area Airports,HEATHROW,"73,186,745","26,665,259","116,024","26,781,283","26,113,993",2.5552967,"46,390,854","14,608","46,405,462","44,888,199",3.3800933
08/03/2018 10:35:06,   2017,2016,London Area Airports,LONDON CITY,"3,463,830","2,825,257",789,"2,826,046","2,758,950",2.4319397,"637,784",0,"637,784","652,937",-2.3207446
08/03/2018 10:35:06,   2017,2016,London Area Airports,LUTON,"14,826,911","12,805,428","414,753","13,220,181","12,113,786",9.1333543,"1,592,361","14,369","1,606,730","1,485,098",8.1901666
08/03/2018 10:35:06,   2017,2016,London Area Airports,SOUTHEND,"1,049,380","1,016,960",0,"1,016,960","818,649",24.2241791,"32,420",0,"32,420","29,311",10.6069394
08/03/2018 10:35:06,   2017,2016,London Area Airports,STANSTED,"24,154,180","22,119,923","355,036","22,474,959","20,887,190",7.6016400,"1,610,457","68,764","1,679,221","1,380,609",21.6290058
08/03/2018 10:35:06,   2017,2016,Other UK Airports,ABERDEEN,"1,335,692","699,202","84,910","784,112","745,610",5.1638256,"180,998","370,582","551,580","591,813",-6.7982623
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BELFAST CITY (GEORGE BEST),"209,850","195,767","7,464","203,231","260,088",-21.8606779,"6,392",227,"6,619","1,288",413.8975155
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BELFAST INTERNATIONAL,"2,065,394","1,663,409","315,361","1,978,770","1,411,494",40.1897564,"67,690","18,934","86,624","172,247",-49.7094289
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BIGGIN HILL,710,0,641,641,229,179.9126638,0,69,69,14,392.8571429
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BIRMINGHAM,"11,671,878","8,508,791","1,037,036","9,545,827","8,300,831",14.9984502,"1,886,290","239,761","2,126,051","2,030,600",4.7006304
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BLACKPOOL,"21,485",0,0,0,0,0.0000000,0,"21,485","21,485","20,498",4.8151039
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BOURNEMOUTH,"689,353","460,609","186,019","646,628","611,364",5.7680858,"33,606","9,119","42,725","47,478",-10.0109524
08/03/2018 10:35:06,   2017,2016,Other UK Airports,BRISTOL,"6,901,697","5,774,098","600,908","6,375,006","5,813,369",9.6611277,"473,132","53,559","526,691","499,345",5.4763741
08/03/2018 10:35:06,   2017,2016,Other UK Airports,CAMBRIDGE,,,0,0,591,0.0000000,0,0,0,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,CARDIFF WALES,"1,212,154","667,680","507,330","1,175,010","1,082,806",8.5152834,"3,989","33,155","37,144","30,365",22.3250453
08/03/2018 10:35:06,   2017,2016,Other UK Airports,CITY OF DERRY (EGLINTON),"2,471",91,"2,380","2,471","11,810",-79.0770533,0,0,0,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,DONCASTER SHEFFIELD,"1,293,796","876,892","407,552","1,284,444","1,191,939",7.7608837,269,"9,083","9,352","18,115",-48.3742755
08/03/2018 10:35:06,   2017,2016,Other UK Airports,DUNDEE,398,0,325,325,"15,348",-97.8824603,0,73,73,79,-7.5949367
08/03/2018 10:35:06,   2017,2016,Other UK Airports,DURHAM TEES VALLEY,"100,689","98,375","2,268","100,643","106,949",-5.8962683,36,10,46,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"4,466,374","3,845,340","515,168","4,360,508","4,116,592",5.9251925,"79,887","25,979","105,866","124,548",-14.9998394
08/03/2018 10:35:06,   2017,2016,Other UK Airports,EDINBURGH,"8,140,552","6,579,915","211,292","6,791,207","5,955,930",14.0242918,"1,328,840","20,505","1,349,345","1,203,367",12.1307963
08/03/2018 10:35:06,   2017,2016,Other UK Airports,EXETER,"459,223","230,360","218,042","448,402","416,363",7.6949681,"4,273","6,548","10,821","20,672",-47.6538313
08/03/2018 10:35:06,   2017,2016,Other UK Airports,GLASGOW,"5,615,331","3,701,292","682,737","4,384,029","3,870,572",13.2656620,"1,071,135","160,167","1,231,302","1,162,866",5.8851149
08/03/2018 10:35:06,   2017,2016,Other UK Airports,GLOUCESTERSHIRE,74,0,74,74,0,0.0000000,0,0,0,1,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,HUMBERSIDE,"164,718","118,129","26,869","144,998","143,302",1.1835145,0,"19,720","19,720","30,547",-35.4437424
08/03/2018 10:35:06,   2017,2016,Other UK Airports,INVERNESS,"98,813","92,828","3,187","96,015","61,539",56.0230098,"2,751",47,"2,798","4,469",-37.3909152
08/03/2018 10:35:06,   2017,2016,Other UK Airports,KIRKWALL,629,0,0,0,9,0.0000000,505,124,629,15,4093.3333333
08/03/2018 10:35:06,   2017,2016,Other UK Airports,LEEDS BRADFORD,"3,638,381","3,396,269","121,624","3,517,893","3,085,864",14.0002605,"119,285","1,203","120,488","121,517",-0.8467951
08/03/2018 10:35:06,   2017,2016,Other UK Airports,LIVERPOOL (JOHN LENNON),"3,957,936","3,752,468","33,307","3,785,775","3,600,950",5.1326733,"168,165","3,996","172,161","184,462",-6.6685821
08/03/2018 10:35:06,   2017,2016,Other UK Airports,LYDD,856,631,212,843,469,79.7441365,0,13,13,22,-40.9090909
08/03/2018 10:35:06,   2017,2016,Other UK Airports,MANCHESTER,"25,389,716","15,937,676","2,060,671","17,998,347","16,464,301",9.3174074,"6,781,362","610,007","7,391,369","6,838,908",8.0782049
08/03/2018 10:35:06,   2017,2016,Other UK Airports,NEWCASTLE,"4,139,883","3,652,284","3,894","3,656,178","3,154,872",15.8898998,"481,986","1,719","483,705","501,301",-3.5100668
08/03/2018 10:35:06,   2017,2016,Other UK Airports,NEWQUAY,"90,698","89,840",858,"90,698","64,080",41.5387016,0,0,0,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,NORWICH,"395,216","158,150","131,142","289,292","266,102",8.7147034,107,"105,817","105,924","117,858",-10.1257445
08/03/2018 10:35:06,   2017,2016,Other UK Airports,OXFORD (KIDLINGTON),,,0,0,322,0.0000000,0,0,0,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,PRESTWICK,"693,598","689,665","3,786","693,451","670,880",3.3643871,65,82,147,411,-64.2335766
08/03/2018 10:35:06,   2017,2016,Other UK Airports,SCATSTA,"77,901",0,0,0,0,0.0000000,0,"77,901","77,901","73,276",6.3117528
08/03/2018 10:35:06,   2017,2016,Other UK Airports,SHOREHAM,0,0,0,0,82,0.0000000,0,0,0,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Other UK Airports,SOUTHAMPTON,"853,582","840,308","4,852","845,160","771,778",9.5081746,"8,376",46,"8,422","6,094",38.2015097
08/03/2018 10:35:06,   2017,2016,Other UK Airports,SUMBURGH,"28,270",0,0,0,0,0.0000000,"1,374","26,896","28,270","66,666",-57.5945759
08/03/2018 10:35:06,   2017,2016,Other UK Airports,WICK JOHN O GROATS,4,0,0,0,28,0.0000000,0,4,4,0,0.0000000
08/03/2018 10:35:06,   2017,2016,Non UK Reporting Airports,GUERNSEY,"7,526","6,541",556,"7,097","10,587",-32.9649570,0,429,429,95,351.5789474
08/03/2018 10:35:06,   2017,2016,Non UK Reporting Airports,ISLE OF MAN,"52,319","45,276","5,245","50,521","48,353",4.4836928,601,"1,197","1,798","1,843",-2.4416712
08/03/2018 10:35:06,   2017,2016,Non UK Reporting Airports,JERSEY,"54,527","40,759","9,185","49,944","62,908",-20.6078718,"4,579",4,"4,583","6,666",-31.2481248

